name,price,capacity,price_per_gb,type,cache,form_factor,interface
Western Digital Black SN850X w/Heatsink,481.4,1000.0,0.111,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Intel DC P3600,6031.54,1600.0,0.87,SSD,,PCIe,PCIe x4
TEAMGROUP MP44,324.89,1000.0,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial P2,389.93,1000.0,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP T-Force Vulcan Z,866.56,4000.0,0.05,SSD,,2.5,SATA 6.0 Gb/s
TEAMGROUP MP33 PRO,281.56,1000.0,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Black SN750,216.61,500.0,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power A55,251.27,1000.0,0.058,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Red Plus,996.55,12000.0,0.019,7200,256.0,3.5,SATA 6.0 Gb/s
Patriot P310,155.94,480.0,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Seagate Constellation CS,216.61,3000.0,0.017,7200,64.0,3.5,SATA 6.0 Gb/s
Silicon Power A55,424.59,2000.0,0.049,SSD,,2.5,SATA 6.0 Gb/s
Seagate IronWolf Pro NAS,1516.51,20000.0,0.017,7200,256.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,118.51,500.0,0.055,5400,64.0,3.5,SATA 6.0 Gb/s
Samsung 870 QVO,346.55,1000.0,0.08,SSD,,2.5,SATA 6.0 Gb/s
Gigabyte AORUS Gen4 7300,908.63,2000.0,0.105,SSD,2048.0,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Black SN770,216.61,250.0,0.2,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Corsair MP700 PRO w/Heatsink,2556.43,4000.0,0.147,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Seagate IronWolf Pro NAS,1364.85,16000.0,0.02,7200,256.0,3.5,SATA 6.0 Gb/s
Leven JM600,238.27,1000.0,0.055,SSD,,M.2-2280,M.2 SATA
Inland TN450,303.22,1000.0,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Western Digital Caviar Blue,86.14,500.0,0.04,7200,16.0,3.5,SATA 6.0 Gb/s
Western Digital Blue,173.28,1000.0,0.04,5400,64.0,3.5,SATA 6.0 Gb/s
Kingston Fury Renegade,1449.48,4000.0,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
PNY CS900,160.28,500.0,0.074,SSD,,2.5,SATA 6.0 Gb/s
SanDisk SSD PLUS,324.93,1000.0,0.075,SSD,,2.5,SATA 6.0 Gb/s
Western Digital WD_BLACK,433.26,2000.0,0.05,7200,64.0,3.5,SATA 6.0 Gb/s
Patriot P210,86.57,256.0,0.078,SSD,,2.5,SATA 6.0 Gb/s
FanXiang S500 Pro,168.94,512.0,0.076,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Corsair MP700 PRO,779.9,1000.0,0.18,SSD,,M.2-2280,M.2 PCIe 5.0 X4
Patriot Viper VP4300 Lite,519.92,2000.0,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Kingston KC600,146.67,256.0,0.132,SSD,,2.5,SATA 6.0 Gb/s
Crucial P2,340.36,500.0,0.157,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green SN350,259.94,960.0,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Intel 660p,324.98,1020.0,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4
TEAMGROUP GX2,142.95,512.0,0.064,SSD,,2.5,SATA 6.0 Gb/s
Toshiba MQ01ABD050,69.33,500.0,0.032,5400,8.0,2.5,SATA 3.0 Gb/s
Crucial P1,472.3,1000.0,0.109,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Silicon Power US75,931.55,4000.0,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Lexar NM620,186.28,512.0,0.084,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Mushkin Helix-L,164.61,512.0,0.074,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power A55,151.61,512.0,0.068,SSD,,2.5,SATA 6.0 Gb/s
PNY CS1030,324.89,1000.0,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Leven JS600,801.56,4000.0,0.046,SSD,,2.5,SATA 6.0 Gb/s
Seagate BarraCuda,570.48,5000.0,0.026,5400,128.0,2.5,SATA 6.0 Gb/s
TEAMGROUP MP44L,190.61,500.0,0.088,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Crucial MX500,173.28,250.0,0.16,SSD,256.0,2.5,SATA 6.0 Gb/s
Crucial BX500,121.28,240.0,0.117,SSD,,2.5,SATA 6.0 Gb/s
Western Digital Green SN350,173.28,480.0,0.083,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Western Digital Green SN350,517.1,2000.0,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
SK Hynix Gold P31,368.26,1000.0,0.085,SSD,,M.2-2280,M.2 PCIe 3.0 X4
Inland Performance Plus,602.24,2000.0,0.069,SSD,,M.2-2280,M.2 PCIe 4.0 X4
Silicon Power UD85,294.56,1000.0,0.068,SSD,,M.2-2280,M.2 PCIe 4.0 X4
